ScientificName
Ficus carica
Grindelia ciliata
Grindelia squarrosa
Hasteola suaveolens
Helenium amarum
Helenium amarum var. amarum
Helenium autumnale
Helenium flexuosum
Helianthus angustifolius
Helianthus annuus
Helianthus decapetalus
Helianthus divaricatus
Helianthus giganteus
Helianthus grosseserratus
Helianthus hirsutus
Helianthus maximiliani
Helianthus microcephalus
Helianthus mollis
Helianthus occidentalis
Helianthus occidentalis subsp. occidentalis
Helianthus pauciflorus
Helianthus pauciflorus subsp. pauciflorus
Helianthus pauciflorus subsp. subrhomboideus
Helianthus petiolaris
Helianthus petiolaris subsp. petiolaris
Helianthus strumosus
Helianthus tuberosus
Helianthus × ambiguus
Helianthus × cinereus
Helianthus × divariserratus
Helianthus × doronicoides
Helianthus × glaucus
Helianthus × laetiflorus
Helianthus × luxurians
Heliopsis helianthoides
Heliopsis helianthoides var. helianthoides
Heliopsis helianthoides var. scabra
Heterotheca camporum
Heterotheca camporum var. camporum
Heterotheca subaxillaris
Heterotheca subaxillaris subsp. latifolia
Heterotheca villosa
Heterotheca villosa var. villosa
Hieracium aurantiacum
Hieracium caespitosum
Hieracium gronovii
Hieracium longipilum
Hieracium paniculatum
Hieracium piloselloides
Hieracium scabrum
Hieracium umbellatum
Hieracium venosum
Hieracium × flagellare
Hymenopappus scabiosaeus
Hymenopappus scabiosaeus var. scabiosaeus
Hypochaeris radicata
Inula helenium
Ionactis linariifolia
Iva annua
Krigia biflora
Krigia cespitosa
Krigia cespitosa var. cespitosa
Krigia dandelion
Krigia virginica
Lactuca biennis
Lactuca canadensis
Lactuca floridana
Lactuca hirsuta
Lactuca ludoviciana
Lactuca saligna
Lactuca sativa
Lactuca serriola
Lactuca × morssii
Lapsana communis
Leontodon saxatilis
Leontodon saxatilis subsp. saxatilis
Leucanthemum vulgare
Liatris aspera
Liatris cylindracea
Liatris pycnostachya
Liatris pycnostachya var. pycnostachya
Liatris scariosa
Liatris scariosa var. nieuwlandii
Liatris spicata
